sbu_cd,store_num,invoice_date,day_date,c445_wk_num,c445_prd_num,c445_qtr_num,c445_yr_num,total_pos,total_pos_taxes
CTR,212,05/30/2020,05/30/2020,22,6,2,2020,4101.07,4306.14
CTR,212,05/31/2020,05/31/2020,23,6,2,2020,1783.63,1906.13
CTR,212,06/02/2020,06/02/2020,23,6,2,2020,4292.75,4517.4
CTR,212,06/04/2020,06/04/2020,23,6,2,2020,3216.9,3377.75
CTR,212,06/05/2020,06/05/2020,23,6,2,2020,2358.57,2467.88
CTR,212,06/08/2020,06/08/2020,24,6,2,2020,1434.43,1506.89
CTR,212,06/10/2020,06/10/2020,24,6,2,2020,1354.22,1421.94
CTR,212,06/12/2020,06/12/2020,24,6,2,2020,4251.87,4464.47
CTR,212,06/14/2020,06/14/2020,25,6,2,2020,2045.43,2147.7
CTR,212,06/15/2020,06/15/2020,25,6,2,2020,4424.09,4645.29
CTR,212,06/18/2020,06/18/2020,25,6,2,2020,2497.5,2622.39
CTR,212,06/24/2020,06/24/2020,26,6,2,2020,2803.84,2944.03
CTR,212,06/25/2020,06/25/2020,26,6,2,2020,2163.04,2271.19
CTR,212,06/27/2020,06/27/2020,26,6,2,2020,2832.79,2974.43
CTR,212,06/28/2020,06/28/2020,27,7,3,2020,1329.71,1396.2
CTR,212,06/29/2020,06/29/2020,27,7,3,2020,2114.87,2220.62
CTR,212,06/30/2020,06/30/2020,27,7,3,2020,3227.67,3389.06
CTR,212,07/02/2020,07/02/2020,27,7,3,2020,2491.15,2615.71
CTR,212,07/03/2020,07/03/2020,27,7,3,2020,2618.15,2749.07
CTR,212,07/04/2020,07/04/2020,27,7,3,2020,1615.33,1696.1
CTR,212,07/05/2020,07/05/2020,28,7,3,2020,919.29,965.26
CTR,212,07/06/2020,07/06/2020,28,7,3,2020,3696.97,3881.83
CTR,212,07/09/2020,07/09/2020,28,7,3,2020,2309,2424.47
CTR,212,07/10/2020,07/10/2020,28,7,3,2020,3720.79,3906.84
CTR,212,07/11/2020,07/11/2020,28,7,3,2020,2113.73,2219.43
CTR,212,07/13/2020,07/13/2020,29,7,3,2020,2288.1,2401.09
CTR,212,07/14/2020,07/14/2020,29,7,3,2020,3170.55,3284.98
CTR,212,07/15/2020,07/15/2020,29,7,3,2020,3120.62,3320.74
CTR,212,07/16/2020,07/16/2020,29,7,3,2020,4067.19,4270.55
CTR,212,07/19/2020,07/19/2020,30,7,3,2020,2923.85,3070.06
CTR,212,07/22/2020,07/22/2020,30,7,3,2020,904.77,950.02
CTR,212,07/23/2020,07/23/2020,30,7,3,2020,2296.46,2424.69
CTR,212,07/25/2020,07/25/2020,30,7,3,2020,3480.78,3654.83
CTR,212,07/27/2020,07/27/2020,31,8,3,2020,1862.41,1955.54
CTR,212,07/31/2020,07/31/2020,31,8,3,2020,4555.72,4783.52
CTR,212,08/01/2020,08/01/2020,31,8,3,2020,3598.32,3778.24
CTR,212,08/02/2020,08/02/2020,32,8,3,2020,1888.67,1983.12
CTR,212,08/05/2020,08/05/2020,32,8,3,2020,2308.19,2423.62
CTR,212,08/07/2020,08/07/2020,32,8,3,2020,5226.76,5488.11
CTR,212,08/11/2020,08/11/2020,33,8,3,2020,3833.91,4025.6
CTR,212,08/12/2020,08/12/2020,33,8,3,2020,4652.53,4885.16
CTR,212,08/14/2020,08/14/2020,33,8,3,2020,1467.52,1540.89
CTR,212,08/18/2020,08/18/2020,34,8,3,2020,1172.21,1298.58
CTR,212,08/20/2020,08/20/2020,34,8,3,2020,968.03,1016.44
CTR,212,08/21/2020,08/21/2020,34,8,3,2020,2512.83,2638.48
